iCliniq Google Search Ads  ·  P2 · Stage 1  ·  25 Keywords  ·  3 Ad Copies,,,,,,,,,,,,,
URL: icliniq.com/articles/cancer/stage-1-endometrial-cancer,,,,,,,,,,,,,
"Campaign: Endometrial Cancer: Stage 1   |   Display Path: Cancer/Articles / Stage-1-Cancer   |   Budget: ₹2,000/day   |   Bid: Maximize Clicks   |   Geo: All USA",,,,,,,,,,,,,
"⚡ Ahrefs: 'stage 1 uterine cancer' (500 vol, TP 1,100) outperforms 'stage 1 endometrial cancer' (250 vol, TP 400). 'endometrial cancer staging' (1,100 vol, KD 9) = easiest high-volume win. Tone = reassuring. 90%+ survival rate is the primary hook.",,,,,,,,,,,,,
,,,,,,,,,,,,,
A · KEYWORDS  (25 total · Real Ahrefs USA Data · Phrase + Exact Match · All unique across all 5 pages),,,,,,,,,,,,,
#,Keyword,Match,Tier,Vol/mo US,Global Vol,CPC (USD),CPC (INR),KD,Traffic Pot.,Priority,YMYL Safe?,Bid Strategy,Intent
  CTR STRATEGY: H1=keyword match (T1 primary kw) · H2=E-E-A-T trust signal · H3=low-friction CTA · H4–H6=benefit/angle specific · H7–H9=credibility · H10–H12=supporting value · H13–H15=rotation variants,,,,,,,,,,,,,
,,,,,,,,,,,,,
  DESCRIPTIONS  (4 total · All ≤90 chars · Unique to this ad · YMYL-compliant clinical framing · High-CTR structure),,,,,,,,,,,,,
#,,Description Text (max 90 chars · YMYL clinical tone · factual · no cure claims · no fear),,,,,,,,,,Chars,OK?
D1,"Stage 1 treatment options: hysterectomy, brachytherapy, hormone therapy. Free guide.",,,,,,,,,,,85,✅ OK
D2,Which surgery is right for Stage 1 endometrial cancer? Free oncologist-reviewed guide.,,,,,,,,,,,87,✅ OK
D3,From surgery to follow-up care — iCliniq covers the complete Stage 1 treatment plan.,,,,,,,,,,,84,✅ OK
D4,Stage 1 uterine cancer treatment in plain English. Free. No login required.,,,,,,,,,,,76,✅ OK
  D1=what article covers (keyword match) · D2=credibility/trust (E-E-A-T) · D3=specific angle for this ad group · D4=secondary audience (caregiver or survival or treatment),,,,,,,,,,,,,
,,,,,,,,,,,,,
YMYL + POLICY AUDIT - This Page,,,,,,,,,,,,,
"  ✅ YMYL Clinical: All copy uses evidence-based, factual, informational framing. No exaggerated claims. Mirrors landing page tone.",,,,,,,,,,,,,
  ✅ E-E-A-T: H2 'Oncologist-Written Guide' signals medical expertise in every ad. D copy cites 'oncologist-reviewed' sourcing.,,,,,,,,,,,,,
"  ✅ CTR optimised: 90%+ survival rate stat creates factual curiosity. Stage-specific framing signals relevance. Questions drive clicks.",,,,,,,,,,,,,
"  ✅ Zero cure claims, guaranteed outcomes, scare tactics, or 'your condition' language in all 15 headlines and 12 descriptions.",,,,,,,,,,,,,
  ✅ Zero drug names in headlines/descriptions (Oct 2025 policy). Educational use on landing page articles only.,,,,,,,,,,,,,
  ✅ All 15 headlines ≤30 chars  |  All 4 descriptions ≤90 chars  |  Both display paths ≤15 chars  |  25 unique keywords,,,,,,,,,,,,,
  ✅ Zero duplicate headlines or descriptions across all 3 ads on this page,,,,,,,,,,,,,
  ⚠️ Remarketing OFF: Do not build custom audiences from these cancer page visits (Google Personalised Health policy),,,,,,,,,,,,,
